tanggal,pm10,so2,co,o3,no2,Kecepatan angin rata-rata,kelembaban,Suhu Min,Suhu Max,Suhu Rata-Rata,Curah Hujan (mm)
,,,,,,0.76,78.8,25.43,31.87,28.13,
,,,,,,1.96,75.55,25.69,32.39,28.55,
,,,,,,1.12,73.4,25.91,32.44,28.62,
,,,,,,1.2,74.77,25.95,32.37,28.57,
,,,,,,1.96,76.83,25.39,32.25,28.35,
,,,,,,1.23,77,25.35,32.25,28.29,
,,,,,,1.22,78.94,25.24,31.48,27.82,
,,,,,,1.32,76.35,25.62,31.41,28.13,
,,,,,,1.32,82.07,25.31,31.04,27.67,
,,,,,,0.96,80.77,25.54,32.21,28.16,
,,,,,,1.16,75.66,25.77,32.97,28.88,
,,,,,,0.8,76.23,26.58,33.09,29.18,
,,,,,,0.96,76.6,25.86,32.79,28.8,
,,,,,,1,71.87,26.01,32.68,28.74,
,,,,,,1.29,72.13,26.01,32.74,28.64,
,,,,,,0.8,67.37,26.09,33.4,29.17,
,,,,,,1.96,69.67,26.91,33.76,29.86,
