tanggal,wilayah_stasiun,pm10,so2,co,o3,no2
01/08/2018,DKI 1,60.93,10.87,15.41,33.22,3.53
01/08/2018,DKI 2,61.12,20.41,10.03,118.54,15.06
01/08/2018,DKI 3,46.03,18.29,12.93,102.29,7.93
01/08/2018,DKI 4,71.48,30.96,11.25,75.93,11.51
01/08/2018,DKI 5,61.67,25.93,16.67,154.19,5.25
01/09/2018,DKI 1,47.26,11.2,17.86,27.83,4.13
01/09/2018,DKI 2,60.73,20.26,18.4,116.5,13.56
01/09/2018,DKI 3,55.23,17.5,17.03,88.73,7.96
01/09/2018,DKI 4,67.8,33.1,13.8,68.13,12.33
01/09/2018,DKI 5,57.2,27.4,16.76,147.13,4.93
01/10/2018,DKI 1,44.93,10.45,17.22,29.03,3.93
01/10/2018,DKI 2,60.96,20.22,18.38,113.9,15.35
01/10/2018,DKI 3,54.64,17.45,19.8,84.45,6.38
01/10/2018,DKI 4,67.35,30.54,12.74,70.9,09.03
01/10/2018,DKI 5,54.77,29.29,16.51,133.51,7.12
01/11/2018,DKI 1,49.36,1.2,21.06,59.96,3.2
01/11/2018,DKI 2,57.6,21.56,18.9,111.36,16.83
01/11/2018,DKI 3,51.67,17.6,24.3,96.6,3.5
01/11/2018,DKI 4,56.9,24.63,18.7,68.13,10.3
01/11/2018,DKI 5,51.7,18.4,20.23,86.73,12.2
01/12/2018,DKI 1,43.51,14.64,16.93,60.67,3.9
01/12/2018,DKI 2,47.93,17.54,"13,00",85.03,14.41
01/12/2018,DKI 3,44.22,15.93,18.48,75.25,4.22
01/12/2018,DKI 4,47.22,24.7,14.19,51.77,7.9
01/12/2018,DKI 5,41.12,14.7,15.06,56.22,12.19
01/01/2019,DKI 1,46.73,15.73,23.00,83.27,9.27
01/01/2019,DKI 2,39.73,19.19,14.27,48.46,14.27
01/01/2019,DKI 3,43.93,9.89,16.04,76.59,6.07
01/01/2019,DKI 4,39.25,18.57,17.82,37.68,8.46
01/01/2019,DKI 5,36.76,11.97,17.24,49.52,9.45
01/02/2019,DKI 1,46.44,17.78,26.33,46.19,12.67
