tanggal,wilayah_stasiun,pm10,so2,co,o3,no2,,,,,,
June 2018,DKI 1,49.43,9.66,14.93,36.63,4.53,,,,,,
June 2018,DKI 2,60.73,18.6,10.33,98.9,13.8,,,,,,
June 2018,DKI 3,54.36,16.4,15.83,84.03,7.00,,,,,,
June 2018,DKI 4,65.3,26.33,15.93,61.23,8.73,,,,,,
June 2018,DKI 5,54.16,17.53,18.53,125.8,4.7,,,,,,
July 2018,DKI 1,61.61,7.45,16.06,43.74,7.9,,,,,,
July 2018,DKI 2,68.93,20.64,12.16,124.19,18.83,,,,,,
July 2018,DKI 3,66.00,18.25,16.74,103.35,9.29,,,,,,
July 2018,DKI 4,80.03,29.96,18.19,77.87,12.19,,,,,,
July 2018,DKI 5,68.96,22.58,20.51,156.03,5.8,,,,,,
August 2018,DKI 1,60.93,10.87,15.41,33.22,3.53,,,,,,
August 2018,DKI 2,61.12,20.41,10.03,118.54,15.06,,,,,,
August 2018,DKI 3,46.03,18.29,12.93,102.29,7.93,,,,,,
August 2018,DKI 4,71.48,30.96,11.25,75.93,11.51,,,,,,
August 2018,DKI 5,61.67,25.93,16.67,154.19,5.25,,,,,,
September 2018,DKI 1,47.26,11.2,17.86,27.83,4.13,,,,,,
September 2018,DKI 2,60.73,20.26,18.4,116.5,13.56,,,,,,
September 2018,DKI 3,55.23,17.5,17.03,88.73,7.96,,,,,,
September 2018,DKI 4,67.8,33.1,13.8,68.13,12.33,,,,,,
September 2018,DKI 5,57.2,27.4,16.76,147.13,4.93,,,,,,
October 2018,DKI 1,44.93,10.45,17.22,29.03,3.93,,,,,,
October 2018,DKI 2,60.96,20.22,18.38,113.9,15.35,,,,,,
October 2018,DKI 3,54.64,17.45,19.8,84.45,6.38,,,,,,
October 2018,DKI 4,67.35,30.54,12.74,70.9,09.03,,,,,,
October 2018,DKI 5,54.77,29.29,16.51,133.51,7.12,,,,,,
November 2018,DKI 1,49.36,1.2,21.06,59.96,3.2,,,,,,
November 2018,DKI 2,57.6,21.56,18.9,111.36,16.83,,,,,,
November 2018,DKI 3,51.67,17.6,24.3,96.6,3.5,,,,,,
November 2018,DKI 4,56.9,24.63,18.7,68.13,10.3,,,,,,
November 2018,DKI 5,51.7,18.4,20.23,86.73,12.2,,,,,,
December 2018,DKI 1,43.51,14.64,16.93,60.67,3.9,,,,,,
December 2018,DKI 2,47.93,17.54,13.00,85.03,14.41,,,,,,
December 2018,DKI 3,44.22,15.93,18.48,75.25,4.22,,,,,,
December 2018,DKI 4,47.22,24.7,14.19,51.77,7.9,,,,,,
December 2018,DKI 5,41.12,14.7,15.06,56.22,12.19,,,,,,
January 2019,DKI 1,46.73,15.73,23,83.27,9.27,,,,,,
January 2019,DKI 2,39.73,19.19,14.27,48.46,14.27,,,,,,
January 2019,DKI 3,43.93,9.89,16.04,76.59,6.07,,,,,,
January 2019,DKI 4,39.25,18.57,17.82,37.68,8.46,,,,,,
January 2019,DKI 5,36.76,11.97,17.24,49.52,9.45,,,,,,
February 2019,DKI 1,46.44,17.78,26.33,46.19,12.67,,,,,,
February 2019,DKI 2,51,25.64,16,49.71,14.82,,,,,,
February 2019,DKI 3,53.67,9.56,22.96,84.81,9.81,,,,,,
February 2019,DKI 4,51.35,20.5,24.54,56,8.42,,,,,,
February 2019,DKI 5,48.61,14.5,21.79,62.86,9.89,,,,,,
March 2019,DKI 1,38.58,13,25.16,41.64,13.83,,,,,,
March 2019,DKI 2,46.74,18.9,14.61,58.61,15.38,,,,,,
March 2019,DKI 3,51.96,9.9,19.51,73.03,9.45,,,,,,
March 2019,DKI 4,46.31,21.10,19.17,54.5,8.5,,,,,,
March 2019,DKI 5,44,14.64,17.61,100.9,9.51,,,,,,
April 2019,DKI 1,46.03,8.51,27.64,53.06,15.67,,,,,,
April 2019,DKI 2,56.66,12.93,14.86,70.3,11.13,,,,,,
April 2019,DKI 3,55.12,11.58,22.32,99.68,9.67,,,,,,
April 2019,DKI 4,55.61,21.09,25.18,80.58,9.38,,,,,,
April 2019,DKI 5,51.69,14.26,24.42,99.38,9.26,,,,,,
May 2019,DKI 1,49.7,7.64,22.54,50.74,14.29,,,,,,
May 2019,DKI 2,62.45,10.96,12.45,67.8,9.7,,,,,,
May 2019,DKI 3,61.25,11.41,18.87,90.78,10.19,,,,,,
May 2019,DKI 4,64.32,23.35,20.31,66.72,9.46,,,,,,
May 2019,DKI 5,57.96,18.7,22.22,74,9.54,,,,,,
June 2019,DKI 1,53.23,8.8,19.51,65.38,14.61,,,,,,
June 2019,DKI 2,65.58,12.74,12.48,83.38,8.8,,,,,,
June 2019,DKI 3,62.4,12.76,16.8,92.13,10.76,,,,,,
June 2019,DKI 4,65.8,24.09,17.22,83.22,10.22,,,,,,
June 2019,DKI 5,61.92,19.5,17.96,88.19,8.76,,,,,,
July 2019,DKI 1,61.58,20.82,21.48,56.24,15.72,,,,,,
July 2019,DKI 2,70.06,10.56,9.23,79.93,8,,,,,,
July 2019,DKI 3,65.09,12.77,15.48,86.87,10.61,,,,,,
July 2019,DKI 4,67.96,27.12,13.48,82.96,10.16,,,,,,
July 2019,DKI 5,66.07,22,16.83,84.38,9.45,,,,,,
August 2019,DKI 1,59.43,18.87,20.66,59.41,15.61,,,,,,
August 2019,DKI 2,72.87,8.58,9.46,77.87,8.54,,,,,,
August 2019,DKI 3,62.26,12.64,21.7,101.46,10.63,,,,,,
August 2019,DKI 4,65.62,28.34,11.86,86.63,7.82,,,,,,
August 2019,DKI 5,63.56,21.2,13.93,114.96,8.36,,,,,,
September 2019,DKI 1,57.4,20.38,18.6,58.23,13.72,,,,,,
September 2019,DKI 2,70,08.09,13,76.83,7.48,,,,,,
September 2019,DKI 3,61.24,13.34,18.37,98.41,9.62,,,,,,
September 2019,DKI 4,67.03,30.13,10.16,94.9,7.7,,,,,,
September 2019,DKI 5,64.61,22.69,12.42,120.8,4.34,,,,,,
October 2019,DKI 1,59.96,21.75,18.55,65.96,15.93,,,,,,
October 2019,DKI 2,70.74,8.67,14.48,85.09,8.8,,,,,,
October 2019,DKI 3,57.1,12.28,18.11,100.96,10.03,,,,,,
October 2019,DKI 4,71.24,32.86,13.56,91.93,8.58,,,,,,
October 2019,DKI 5,67.67,21.54,9.24,137.12,8.45,,,,,,
November 2019,DKI 1,57.73,22.06,16.76,70.76,15.2,,,,,,
November 2019,DKI 2,66.26,9.41,16.87,89.8,10.46,,,,,,
November 2019,DKI 3,51.3,14.03,21.6,99.23,10.27,,,,,,
November 2019,DKI 4,58.53,33.13,15.34,101.2,7.89,,,,,,
November 2019,DKI 5,63.42,21.68,18.95,131.88,9.69,,,,,,
December 2019,DKI 1,53.6,23.15,18.56,51.53,12.5,,,,,,
December 2019,DKI 2,60.96,8.8,20,66.25,10.7,,,,,,
December 2019,DKI 3,46.25,11.16,27.8,81.6,8.32,,,,,,
December 2019,DKI 4,57.77,36.2,16.96,91.31,6.9,,,,,,
